Label,Average Distance-to-Default (ADD),Portfolio Distance-to-Default (PDD),PDD-ADD (Spread),KBE ETF
5/22/2014,5.1739,6.5396,1.3657,31.63
5/23/2014,5.2921,6.6657,1.3736,31.76
5/27/2014,5.1568,6.5341,1.3772,31.98
5/28/2014,5.235,6.4704,1.2354,31.85
5/29/2014,5.1889,6.4347,1.2459,31.9
5/30/2014,5.244,6.4492,1.2052,31.93
6/2/2014,5.1768,6.3902,1.2133,32.22
6/3/2014,5.2113,6.4366,1.2253,32.36
6/4/2014,5.2599,6.5112,1.2513,32.43
6/5/2014,5.2928,6.6813,1.3885,32.86
6/6/2014,5.4273,6.589,1.1617,33.17
6/9/2014,5.3696,6.8224,1.4528,33.65
6/10/2014,5.4038,6.7286,1.3248,33.56
6/11/2014,5.2302,6.7915,1.5612,33.28
6/12/2014,5.246,6.3631,1.1172,33.11
6/13/2014,5.2528,6.5191,1.2663,33.07
6/16/2014,5.1298,6.3691,1.2392,32.87
6/17/2014,5.2188,6.606,1.3872,33.43
6/18/2014,5.2896,7.052,1.7625,33.57
6/19/2014,5.2472,6.3415,1.0943,33.43
6/20/2014,5.3611,6.8117,1.4506,33.42
6/23/2014,5.2813,6.883,1.6017,33.39
6/24/2014,5.238,6.6436,1.4056,33.12
6/25/2014,5.2231,6.659,1.4358,33.31
6/26/2014,5.3544,6.7489,1.3946,33.3
6/27/2014,5.2778,6.8635,1.5857,33.36
6/30/2014,5.2533,6.7605,1.5072,33.42
7/1/2014,5.2548,6.957,1.7022,33.71
7/2/2014,5.345,6.78,1.435,33.47
7/3/2014,5.4854,7.0637,1.5783,33.87
7/7/2014,5.3795,6.9224,1.5429,33.62
7/8/2014,5.1432,6.6016,1.4584,33.17
7/9/2014,5.1926,6.8299,1.6373,33.2
7/10/2014,4.9871,6.7838,1.7967,33
7/11/2014,5.1137,6.7014,1.5877,32.92
7/14/2014,5.0152,6.5966,1.5814,32.93
7/15/2014,5.047,6.5783,1.5313,33.3
7/16/2014,4.9932,6.8563,1.8631,32.75
7/17/2014,5.009,6.1873,1.1782,32.12
7/18/2014,5.0999,6.4583,1.3584,32.39
7/21/2014,4.9121,6.4172,1.5051,32.31
7/22/2014,5.1712,6.5943,1.4231,32.26
